datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:39:15,123.63,123.63,123.63,123.63,0,0,123.63
2020-03-30 09:39:16,123.63,123.63,123.63,123.63,0,0,123.63
2020-03-30 09:39:17,123.63,123.63,123.63,123.63,0,0,123.63
2020-03-30 09:39:18,123.63,123.63,123.63,123.63,0,0,123.63
2020-03-30 09:39:19,123.63,123.63,123.63,123.63,0,0,123.63
2020-03-30 09:39:20,123.63,123.63,123.63,123.63,0,0,123.63
2020-03-30 09:39:21,124.02,124.02,123.23,123.62,12,10,123.635
2020-03-30 09:39:22,123.62,123.62,123.42,123.42,2,2,123.52
2020-03-30 09:39:23,123.42,123.42,123.42,123.42,0,0,123.42
2020-03-30 09:39:24,123.42,123.42,123.42,123.42,0,0,123.42
2020-03-30 09:39:25,123.62,123.62,123.62,123.62,1,1,123.62
2020-03-30 09:39:26,123.62,123.62,123.62,123.62,0,0,123.62
2020-03-30 09:39:27,123.62,123.62,123.62,123.62,0,0,123.62
2020-03-30 09:39:28,123.62,123.62,123.62,123.62,0,0,123.62
2020-03-30 09:39:29,123.62,123.62,123.62,123.62,0,0,123.62
2020-03-30 09:39:30,123.62,123.62,123.62,123.62,0,0,123.62
2020-03-30 09:39:31,123.62,123.62,123.62,123.62,0,0,123.62
2020-03-30 09:39:32,123.62,123.62,123.62,123.62,0,0,123.62
2020-03-30 09:39:33,123.62,123.62,123.62,123.62,0,0,123.62
2020-03-30 09:39:34,123.62,123.62,123.62,123.62,0,0,123.62
2020-03-30 09:39:35,123.62,123.62,123.62,123.62,0,0,123.62
2020-03-30 09:39:36,123.62,123.62,123.62,123.62,0,0,123.62
2020-03-30 09:39:37,123.62,123.62,123.62,123.62,0,0,123.62
2020-03-30 09:39:38,123.62,123.62,123.62,123.62,0,0,123.62
2020-03-30 09:39:39,123.62,123.62,123.62,123.62,0,0,123.62
2020-03-30 09:39:40,123.33,123.34,123.26,123.26,4,4,123.315
2020-03-30 09:39:41,123.26,123.26,123.26,123.26,0,0,123.26
2020-03-30 09:39:42,123.26,123.26,123.26,123.26,0,0,123.26
2020-03-30 09:39:43,123.26,123.26,123.26,123.26,0,0,123.26
2020-03-30 09:39:44,123.26,123.26,123.26,123.26,0,0,123.26
2020-03-30 09:39:45,123.26,123.26,123.26,123.26,0,0,123.26
2020-03-30 09:39:46,123.26,123.26,123.26,123.26,0,0,123.26
2020-03-30 09:39:47,123.26,123.26,123.26,123.26,0,0,123.26
2020-03-30 09:39:48,123.26,123.26,123.26,123.26,0,0,123.26
2020-03-30 09:39:49,123.26,123.26,123.26,123.26,0,0,123.26
2020-03-30 09:39:50,123.57,123.72,123.57,123.7,15,15,123.617
2020-03-30 09:39:51,123.7,123.7,123.7,123.7,0,0,123.7
2020-03-30 09:39:52,123.7,123.7,123.7,123.7,0,0,123.7
2020-03-30 09:39:53,123.7,123.7,123.7,123.7,0,0,123.7
2020-03-30 09:39:54,123.7,123.7,123.7,123.7,0,0,123.7
2020-03-30 09:39:55,123.7,123.7,123.7,123.7,0,0,123.7
2020-03-30 09:39:56,123.7,123.7,123.7,123.7,0,0,123.7
2020-03-30 09:39:57,123.7,123.7,123.7,123.7,0,0,123.7
2020-03-30 09:39:58,123.7,123.7,123.7,123.7,0,0,123.7
2020-03-30 09:39:59,123.7,123.7,123.7,123.7,0,0,123.7
2020-03-30 09:29:30,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:31,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:32,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:33,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:34,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:35,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:36,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:37,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:38,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:39,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:40,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:41,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:42,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:43,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:44,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:45,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:46,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:47,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:48,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:49,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:50,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:51,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:52,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:53,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:54,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:55,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:56,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:57,120.77,120.77,120.77,120.77,0,0,120.77
2020-03-30 09:29:58,122.28,122.28,122.28,122.28,2,2,122.28
2020-03-30 09:29:59,122.28,122.28,122.28,122.28,0,0,122.28
2020-03-30 09:30:00,122.86,122.9,122.86,122.9,236,2,122.86
2020-03-30 09:30:01,122.9,122.9,122.9,122.9,0,0,122.9
2020-03-30 09:30:02,122.43,122.85,122.02,122.02,5,5,122.516
2020-03-30 09:30:03,122.02,122.02,122.02,122.02,0,0,122.02
2020-03-30 09:30:04,122.5,122.85,122.43,122.85,7,7,122.631
2020-03-30 09:30:05,122.43,122.43,122.43,122.43,1,1,122.43
2020-03-30 09:30:06,122.43,122.43,122.43,122.43,0,0,122.43
2020-03-30 09:30:07,122.43,122.43,122.43,122.43,0,0,122.43
2020-03-30 09:30:08,122.43,122.43,122.43,122.43,0,0,122.43
2020-03-30 09:30:09,122.43,122.43,122.43,122.43,0,0,122.43
2020-03-30 09:30:10,122.43,122.43,122.43,122.43,0,0,122.43
2020-03-30 09:30:11,122.43,122.43,122.43,122.43,0,0,122.43
2020-03-30 09:30:12,122.43,122.43,122.43,122.43,0,0,122.43
2020-03-30 09:30:13,122.43,122.43,122.43,122.43,0,0,122.43
2020-03-30 09:30:14,122.43,122.43,122.43,122.43,0,0,122.43
2020-03-30 09:30:15,122.85,123.47,122.84,123.22,24,23,122.921
2020-03-30 09:30:16,123.32,124.0,123.25,123.8,7,7,123.646
2020-03-30 09:30:17,123.82,123.82,123.82,123.82,1,1,123.82
2020-03-30 09:30:18,123.82,123.82,123.82,123.82,0,0,123.82
2020-03-30 09:30:19,123.82,123.82,123.82,123.82,0,0,123.82
2020-03-30 09:30:20,123.82,123.82,123.82,123.82,0,0,123.82
2020-03-30 09:30:21,123.82,123.82,123.82,123.82,0,0,123.82
2020-03-30 09:30:22,123.82,123.82,123.82,123.82,0,0,123.82
2020-03-30 09:30:23,123.82,123.82,123.82,123.82,0,0,123.82
2020-03-30 09:30:24,123.82,123.82,123.82,123.82,0,0,123.82
2020-03-30 09:30:25,123.82,123.82,123.82,123.82,0,0,123.82
2020-03-30 09:30:26,123.82,123.82,123.82,123.82,0,0,123.82
2020-03-30 09:30:27,123.48,124.0,123.35,123.87,5,4,123.714
2020-03-30 09:30:28,123.87,123.87,123.87,123.87,0,0,123.87
2020-03-30 09:30:29,124.0,124.0,123.56,123.86,9,6,123.934
2020-03-30 09:30:30,123.86,123.86,123.86,123.86,0,0,123.86
2020-03-30 09:30:31,123.59,123.86,123.58,123.86,2,2,123.722
2020-03-30 09:30:32,123.86,123.86,123.86,123.86,1,1,123.86
2020-03-30 09:30:33,123.59,123.59,123.58,123.59,5,4,123.585
2020-03-30 09:30:34,123.59,123.59,123.58,123.59,0,0,123.59
2020-03-30 09:30:35,123.59,123.59,123.58,123.59,0,0,123.59
2020-03-30 09:30:36,123.59,123.59,123.58,123.59,0,0,123.59
2020-03-30 09:30:37,123.59,123.59,123.58,123.59,0,0,123.59
2020-03-30 09:30:38,123.59,123.59,123.58,123.59,0,0,123.59
2020-03-30 09:30:39,123.59,123.59,123.58,123.59,0,0,123.59
2020-03-30 09:30:40,123.59,123.59,123.58,123.59,0,0,123.59
2020-03-30 09:30:41,123.59,123.59,123.58,123.59,0,0,123.59
2020-03-30 09:30:42,123.59,123.59,123.58,123.59,0,0,123.59
2020-03-30 09:30:43,123.59,123.59,123.58,123.59,0,0,123.59
2020-03-30 09:30:44,123.59,123.59,123.58,123.59,0,0,123.59
2020-03-30 09:30:45,123.5,123.97,123.37,123.97,5,5,123.603
2020-03-30 09:30:46,123.97,123.97,123.96,123.97,0,0,123.97
2020-03-30 09:30:47,123.75,123.75,123.75,123.75,3,3,123.75
2020-03-30 09:30:48,123.75,123.75,123.75,123.75,0,0,123.75
2020-03-30 09:30:49,123.75,123.75,123.75,123.75,0,0,123.75
2020-03-30 09:30:50,123.75,123.75,123.75,123.75,0,0,123.75
2020-03-30 09:30:51,123.75,123.75,123.75,123.75,0,0,123.75
2020-03-30 09:30:52,123.75,123.75,123.75,123.75,0,0,123.75
2020-03-30 09:30:53,123.75,123.75,123.75,123.75,0,0,123.75
2020-03-30 09:30:54,123.75,123.75,123.75,123.75,0,0,123.75
2020-03-30 09:30:55,123.75,123.75,123.75,123.75,2,2,123.75
2020-03-30 09:30:56,123.75,123.75,123.75,123.75,0,0,123.75
2020-03-30 09:30:57,123.95,123.95,123.95,123.95,1,1,123.95
2020-03-30 09:30:58,123.6,123.6,123.6,123.6,1,1,123.6
2020-03-30 09:30:59,123.6,123.6,123.6,123.6,0,0,123.6
2020-03-30 09:31:00,123.6,123.6,123.6,123.6,0,0,123.6
2020-03-30 09:31:01,123.6,123.6,123.6,123.6,0,0,123.6
2020-03-30 09:31:02,123.6,123.6,123.6,123.6,0,0,123.6
2020-03-30 09:31:03,123.6,123.6,123.6,123.6,0,0,123.6
2020-03-30 09:31:04,123.7,123.71,123.7,123.7,1,1,123.704
2020-03-30 09:31:05,123.7,123.71,123.7,123.7,0,0,123.7
2020-03-30 09:31:06,123.7,123.71,123.7,123.7,0,0,123.7
2020-03-30 09:31:07,123.7,123.71,123.7,123.7,0,0,123.7
2020-03-30 09:31:08,124.0,124.5,123.83,124.5,13,12,124.122
2020-03-30 09:31:09,124.5,124.5,124.5,124.5,0,0,124.5
2020-03-30 09:31:10,124.5,124.5,124.5,124.5,0,0,124.5
2020-03-30 09:31:11,124.5,124.5,124.5,124.5,0,0,124.5
2020-03-30 09:31:12,124.5,124.5,124.5,124.5,0,0,124.5
2020-03-30 09:31:13,124.5,124.5,124.5,124.5,0,0,124.5
2020-03-30 09:31:14,124.5,124.5,124.5,124.5,0,0,124.5
2020-03-30 09:31:15,124.5,124.5,124.5,124.5,0,0,124.5
2020-03-30 09:31:16,124.5,124.5,124.5,124.5,0,0,124.5
2020-03-30 09:31:17,124.5,124.5,124.5,124.5,0,0,124.5
2020-03-30 09:31:18,124.51,125.16,124.51,125.16,4,3,124.902
2020-03-30 09:31:19,125.16,125.16,125.16,125.16,0,0,125.16
2020-03-30 09:31:20,125.09,125.09,125.08,125.09,1,1,125.085
2020-03-30 09:31:21,125.09,125.09,125.08,125.09,0,0,125.09
2020-03-30 09:31:22,125.09,125.09,125.08,125.09,0,0,125.09
2020-03-30 09:31:23,125.09,125.09,125.08,125.09,0,0,125.09
2020-03-30 09:31:24,124.21,124.21,124.2,124.21,1,1,124.209
2020-03-30 09:31:25,124.21,124.21,124.2,124.21,0,0,124.21
2020-03-30 09:31:26,124.21,124.21,124.2,124.21,0,0,124.21
2020-03-30 09:31:27,124.21,124.21,124.2,124.21,0,0,124.21
2020-03-30 09:31:28,124.41,124.41,124.41,124.41,1,1,124.41
2020-03-30 09:31:29,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:30,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:31,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:32,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:33,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:34,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:35,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:36,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:37,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:38,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:39,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:40,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:41,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:42,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:43,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:44,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:45,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:46,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:47,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:48,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:49,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:50,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:51,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:52,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:53,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:54,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:55,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:56,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:57,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:58,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:31:59,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:32:00,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:32:01,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:32:02,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:32:03,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:32:04,124.41,124.41,124.41,124.41,0,0,124.41
2020-03-30 09:32:05,124.88,124.88,124.88,124.88,1,1,124.88
2020-03-30 09:32:06,124.88,124.88,124.88,124.88,0,0,124.88
2020-03-30 09:32:07,124.88,124.88,124.88,124.88,0,0,124.88
2020-03-30 09:32:08,124.88,124.88,124.88,124.88,0,0,124.88
2020-03-30 09:32:09,124.56,124.57,124.56,124.56,4,1,124.562
2020-03-30 09:32:10,124.56,124.57,124.56,124.56,0,0,124.56
2020-03-30 09:32:11,124.56,124.57,124.56,124.56,0,0,124.56
2020-03-30 09:32:12,124.56,124.57,124.56,124.56,0,0,124.56
2020-03-30 09:32:13,124.56,124.57,124.56,124.56,0,0,124.56
2020-03-30 09:32:14,124.56,124.57,124.56,124.56,0,0,124.56
2020-03-30 09:32:15,124.56,124.57,124.56,124.56,0,0,124.56
2020-03-30 09:32:16,124.56,124.57,124.56,124.56,0,0,124.56
